timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745960019204,157,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,157,0,0
1745960020709,84,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,84,0,0
1745960021205,103,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,103,0,0
1745960022710,142,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,142,0,0
1745960023205,151,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,151,0,0
1745960024710,182,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,182,0,0
1745960025206,96,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,96,0,0
1745960026711,127,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,126,0,0
1745960027205,145,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,145,0,0
1745960028710,73,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,73,0,0
1745960029205,153,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,153,0,0
1745960030710,121,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,121,0,0
1745960031204,1161,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,1161,0,556
1745960032709,476,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,476,0,382
1745960033205,83,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,83,0,0
1745960034709,114,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,114,0,0
1745960035204,135,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,135,0,0
1745960036709,162,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,162,0,0
1745960037204,152,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,152,0,0
1745960038709,109,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,109,0,0
1745960039204,126,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,126,0,0
1745960040710,155,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,155,0,0
1745960041205,174,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,174,0,0
1745960042710,204,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,204,0,0
1745960043205,118,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,118,0,0
1745960044710,166,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,166,0,0
1745960045206,152,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,152,0,0
1745960046709,96,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,96,0,0
1745960047204,114,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,114,0,0
1745960048709,99,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,98,0,0
1745960049204,161,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,161,0,0
1745960050710,190,HTTP Request,202,Accepted,Thread Group 1-1,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,190,0,0
1745960051204,105,HTTP Request,202,Accepted,Thread Group 1-2,text,true,,2577,388,2,2,https://serworing1398514.azurewebsites.net/api/orchestrators/Orchestrate,105,0,0
